table_id,state_code,state_name,category,type,description,unit,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
coal-ak-78,AK,Alaska,production,Coal,Coal production,Billion Btu,11263,11497,13588,13307,11622,13931,14461,14430,11700,10405,8564,10889,10421,10826,10920,11950,11014,10998,11404,12308,12340,12605,12995,12262,13400,22355,24492,23275,27222,24679,26614,22402,23930,24976,24445,26489,23104,22620,20966,24414,25600,23618,17878,16864,23587,22682,22230,20654,23041,29016,33556,33524,31332,24917,22944,17747,13942,14365,13752,14867,15523
coal-al-100,AL,Alabama,production,Coal,Coal production,Billion Btu,318818,316466,315608,302842,353712,363440,348419,379465,402842,427738,503797,439720,510021,453403,463397,534693,508453,505588,492162,579943,633365,592489,645392,577139,657109,676254,634516,627490,649791,680322,707762,662161,623932,600869,568577,607150,607031,600683,568308,477574,472699,469962,460201,486363,531179,518423,443032,469036,506837,459529,493094,468671,488084,469162,414366,331420,247632,326748,370533,350506,313282
coal-ar-66,AR,Arkansas,production,Coal,Coal production,Billion Btu,9178,8864,5745,4959,4757,5071,5296,4241,4735,5116,6014,6193,9604,9093,10210,10766,11983,12634,12616,5632,7158,5139,3613,1975,1840,1795,3747,1885,6193,1571,1324,1167,1302,987,1144,651,471,404,539,494,269,381,314,180,157,67,516,1863,1548,112,718,2985,2077,1433,1864,1819,974,832,0,0,0
coal-az-100,AZ,Arizona,production,Coal,Coal production,Billion Btu,132,0,0,0,0,0,0,22,0,0,2915,25305,65228,71697,142379,154259,230085,244195,199923,251482,240795,256340,273011,251813,254419,212531,255170,251261,273762,263538,249018,290251,275298,267527,288013,262514,228630,256500,247729,258148,286772,293303,280064,262251,278231,263426,179356,173934,173998,160706,167930,174841,161374,163691,173337,146450,116678,134024,140759,82222,0
coal-ca-82,CA,California,production,Coal,Coal production,Billion Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,852,0,552,648,492,732,684,1236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coal-co-57,CO,Colorado,production,Coal,Coal production,Billion Btu,78755,80305,73777,80589,95087,104585,114017,118755,121353,120742,131549,116528,120567,132175,148561,172499,202169,261877,299886,404689,412459,433371,401325,365235,395572,379500,334055,316144,347421,365336,404530,384207,414384,475039,554832,565841,547155,598037,651411,662659,648023,741186,788220,801108,889060,857038,805711,815511,714673,614581,551825,586847,629645,529096,528242,403605,270920,320001,293149,270466,210494
coal-ct-72,CT,Connecticut,production,Coal,Coal production,Billion Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coal-dc-79,DC,District of Columbia,production,Coal,Coal production,Billion Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coal-de-104,DE,Delaware,production,Coal,Coal production,Billion Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coal-fl-71,FL,Florida,production,Coal,Coal production,Billion Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
