state_code,year,All Industry Total - Dollars,Consumption - Billion Btu,Fossil Fuel Consumption - Billion Btu,Fossil Fuel Production - Billion Btu,GDP per Capita - Dollars,Nuclear Consumption - Billion Btu,Population - Individual Person,Production - Billion Btu,Renewable Consumption - Billion Btu,Renewable Production - Billion Btu,Total Expenditure - Dollars
AK,1970,2359000000,182039,173203,493537,7853,0,300382,615010,8835,17670,188000000
AL,1970,12475000000,1393497,1335403,545922,3622,0,3444165,679413,132471,264941,1406000000
AR,1970,6667000000,708904,630108,110617,3466,0,1923295,355074,56933,113865,801000000
AZ,1970,8569000000,520401,426304,13262,4839,0,1770900,83347,68919,137838,743000000
CA,1970,1.11985E+11,5499139,4805642,2013508,5612,34375,19953134,3309614,521978,1043956,7000000000
CO,1970,10431000000,677623,664055,274942,4726,0,2207259,405522,21329,42658,865000000
CT,1970,16347000000,693930,669103,0,5392,39567,3031709,58859,19293,38586,1175000000
DE,1970,3166000000,219722,218169,0,5776,0,548104,7021,7021,14042,263000000
FL,1970,30691000000,1577450,1532980,17394,4520,0,6789443,68429,51035,102070,2610000000
GA,1970,19365000000,1280820,1089575,0,4219,0,4589575,98222,98222,196444,1768000000
HI,1970,4813000000,196947,195388,0,6262,0,768561,1559,1559,3119,274000000
IA,1970,12957000000,850609,829230,20385,4588,0,2824376,36465,16080,32160,1261000000
ID,1970,3015000000,296399,162505,0,4231,0,712567,85735,85735,171471,348000000
IL,1970,62763000000,3696737,3610688,1699375,5647,27600,11113976,1776784,41064,82128,4931000000
IN,1970,24546000000,2219775,2286565,539641,4726,0,5193669,568289,28494,56988,2559000000
KS,1970,9755000000,874267,888155,526818,4342,0,2246578,1492430,3730,7460,919000000
KY,1970,13943000000,1104720,1136950,3084700,4332,0,3218706,3231222,57023,114045,1296000000
LA,1970,17177000000,2836864,2794565,3363907,4717,0,3641306,9358093,41620,83240,1818000000
MA,1970,29052000000,1464384,1410954,0,5107,13272,5689170,78316,65043,130086,2296000000
MD,1970,18720000000,1067972,999790,40879,4773,0,3922399,93491,51782,103563,1522000000
ME,1970,3959000000,302380,234453,0,3991,0,992048,59420,59420,118840,438000000
MI,1970,46178000000,2702538,2606040,67819,5203,4113,8875083,169325,54309,108619,3718000000
MN,1970,18700000000,1107892,1035200,0,4915,0,3804971,32822,32822,65644,1650000000
MO,1970,22230000000,1309269,1283465,94288,4754,0,4676501,127720,33344,66688,1937000000
MS,1970,7253000000,746912,655290,377690,3272,0,2216912,542511,33527,67054,837000000
MT,1970,2919000000,322784,228793,281224,4204,0,694409,429035,98397,196793,334000000
NC,1970,22840000000,1342676,1264516,0,4494,0,5082059,111796,111796,223592,1917000000
ND,1970,2294000000,191117,206554,201450,3713,0,617761,275962,29922,59844,290000000
NE,1970,6907000000,487481,446072,66416,4656,0,1483493,89310,15950,31900,668000000
NH,1970,3050000000,186601,173815,0,4135,0,737681,25321,25321,50642,317000000
NJ,1970,38492000000,1977939,1894413,0,5370,37917,7168164,63823,25906,51812,3052000000
NM,1970,4431000000,458694,547645,881165,4361,0,1016000,2202887,5548,11096,462000000
NV,1970,3262000000,190122,164598,864,6674,0,488738,19186,18322,36644,277000000
NY,1970,1.12349E+11,4303439,3971769,6925,6161,46908,18236967,382753,325491,650982,6363000000
OH,1970,53714000000,3932645,3720008,1355772,5043,0,10652017,1453233,44149,88298,4647000000
OK,1970,10369000000,939226,981599,1358079,4052,0,2559229,3120462,21730,43460,1051000000
OR,1970,9798000000,752924,397097,0,4685,0,2091385,371350,371350,742699,881000000
PA,1970,56670000000,4106916,4025797,2381706,4805,5102,11793909,2533825,67525,135050,4792000000
