"state_code","category","description","unit","amount"
"AK","Fossil Fuel-Consumption","Percent Change 1970-1980","Billion Btu",30.54
"AK","Fossil Fuel-Consumption","Percent Change 2000-2010","Billion Btu",-10.90
"AK","Fossil Fuel-Consumption","Change 1970-1980","Billion Btu",114221
"AK","Fossil Fuel-Consumption","Percent Change 1980-1990","Billion Btu",39.23
"AK","Fossil Fuel-Consumption","Percent Change 2010-2020","Billion Btu",-0.81
"AK","Fossil Fuel-Consumption","Change 1980-1990","Billion Btu",278298
"AK","Fossil Fuel-Consumption","Change 2010-2020","Billion Btu",-7529
"AK","Fossil Fuel-Consumption","Change 1990-2000","Billion Btu",163960
"AK","Fossil Fuel-Consumption","Percent Change 1990-2000","Billion Btu",16.19
"AK","Fossil Fuel-Consumption","Change 2000-2010","Billion Btu",-107568
"AK","Fossil Fuel-Production","Percent Change 2010-2020","Billion Btu",-22.21
"AK","Fossil Fuel-Production","Change 1970-1980","Billion Btu",2950350
"AK","Fossil Fuel-Production","Percent Change 1970-1980","Billion Btu",79.94
"AK","Fossil Fuel-Production","Percent Change 1990-2000","Billion Btu",-42.63
"AK","Fossil Fuel-Production","Change 2010-2020","Billion Btu",-355194
"AK","Fossil Fuel-Production","Change 1990-2000","Billion Btu",-1695252
"AK","Fossil Fuel-Production","Change 1980-1990","Billion Btu",337119
"AK","Fossil Fuel-Production","Change 2000-2010","Billion Btu",-782555
"AK","Fossil Fuel-Production","Percent Change 1980-1990","Billion Btu",6.13
"AK","Fossil Fuel-Production","Percent Change 2000-2010","Billion Btu",-33.36
"AK","Nuclear-Consumption","Percent Change 1980-1990","Billion Btu",0
"AK","Nuclear-Consumption","Percent Change 2000-2010","Billion Btu",0
"AK","Nuclear-Consumption","Percent Change 2010-2020","Billion Btu",0
"AK","Nuclear-Consumption","Change 2010-2020","Billion Btu",0
"AK","Nuclear-Consumption","Change 1980-1990","Billion Btu",0
"AK","Nuclear-Consumption","Percent Change 1970-1980","Billion Btu",0
"AK","Nuclear-Consumption","Change 1990-2000","Billion Btu",0
"AK","Nuclear-Consumption","Change 1970-1980","Billion Btu",0
"AK","Nuclear-Consumption","Percent Change 1990-2000","Billion Btu",0
"AK","Nuclear-Consumption","Change 2000-2010","Billion Btu",0
"AK","Renewable-Consumption","Change 1990-2000","Billion Btu",-5982
"AK","Renewable-Consumption","Percent Change 2000-2010","Billion Btu",20.45
"AK","Renewable-Consumption","Percent Change 1990-2000","Billion Btu",-27.75
"AK","Renewable-Consumption","Change 1970-1980","Billion Btu",-514
"AK","Renewable-Consumption","Change 2000-2010","Billion Btu",4773
"AK","Renewable-Consumption","Percent Change 1970-1980","Billion Btu",-4.04
"AK","Renewable-Consumption","Change 2010-2020","Billion Btu",8398
"AK","Renewable-Consumption","Percent Change 2010-2020","Billion Btu",24.61
"AK","Renewable-Consumption","Change 1980-1990","Billion Btu",10036
"AK","Renewable-Consumption","Percent Change 1980-1990","Billion Btu",44.57
"AK","Renewable-Production","Change 2010-2020","Billion Btu",15434
"AK","Renewable-Production","Change 1970-1980","Billion Btu",-1027
"AK","Renewable-Production","Change 1980-1990","Billion Btu",20072
"AK","Renewable-Production","Percent Change 2000-2010","Billion Btu",20.64
"AK","Renewable-Production","Change 2000-2010","Billion Btu",9522
"AK","Renewable-Production","Change 1990-2000","Billion Btu",-12307
"AK","Renewable-Production","Percent Change 1980-1990","Billion Btu",44.57
"AK","Renewable-Production","Percent Change 1970-1980","Billion Btu",-4.03
"AK","Renewable-Production","Percent Change 1990-2000","Billion Btu",-28.78
"AK","Renewable-Production","Percent Change 2010-2020","Billion Btu",23.27
"AL","Fossil Fuel-Consumption","Change 2010-2020","Billion Btu",-289429
"AL","Fossil Fuel-Consumption","Percent Change 1980-1990","Billion Btu",1.32
"AL","Fossil Fuel-Consumption","Change 2000-2010","Billion Btu",-47865
"AL","Fossil Fuel-Consumption","Percent Change 1970-1980","Billion Btu",2.64
"AL","Fossil Fuel-Consumption","Percent Change 1990-2000","Billion Btu",16.33
"AL","Fossil Fuel-Consumption","Change 1970-1980","Billion Btu",54324
"AL","Fossil Fuel-Consumption","Percent Change 2000-2010","Billion Btu",-1.77
"AL","Fossil Fuel-Consumption","Change 1990-2000","Billion Btu",414851
"AL","Fossil Fuel-Consumption","Percent Change 2010-2020","Billion Btu",-12.12
"AL","Fossil Fuel-Consumption","Change 1980-1990","Billion Btu",27810
"AL","Fossil Fuel-Production","Percent Change 1970-1980","Billion Btu",20.87
"AL","Fossil Fuel-Production","Percent Change 2010-2020","Billion Btu",-32.52
"AL","Fossil Fuel-Production","Percent Change 1980-1990","Billion Btu",4.47
"AL","Fossil Fuel-Production","Percent Change 2000-2010","Billion Btu",0.16
"AL","Fossil Fuel-Production","Change 1970-1980","Billion Btu",215930
"AL","Fossil Fuel-Production","Change 2000-2010","Billion Btu",1243
"AL","Fossil Fuel-Production","Change 1980-1990","Billion Btu",53430
"AL","Fossil Fuel-Production","Change 1990-2000","Billion Btu",-281932
"AL","Fossil Fuel-Production","Change 2010-2020","Billion Btu",-196783
"AL","Fossil Fuel-Production","Percent Change 1990-2000","Billion Btu",-29.96
"AL","Nuclear-Consumption","Percent Change 1980-1990","Billion Btu",-50.36
"AL","Nuclear-Consumption","Percent Change 2000-2010","Billion Btu",12.39
"AL","Nuclear-Consumption","Change 1980-1990","Billion Btu",-128777
"AL","Nuclear-Consumption","Change 1990-2000","Billion Btu",199610
"AL","Nuclear-Consumption","Change 2010-2020","Billion Btu",58199
"AL","Nuclear-Consumption","Percent Change 1970-1980","Billion Btu",100.00
"AL","Nuclear-Consumption","Percent Change 2010-2020","Billion Btu",8.91
"AL","Nuclear-Consumption","Change 2000-2010","Billion Btu",69414
"AL","Nuclear-Consumption","Percent Change 1990-2000","Billion Btu",51.06
"AL","Nuclear-Consumption","Change 1970-1980","Billion Btu",256310
"AL","Renewable-Consumption","Change 1980-1990","Billion Btu",14521
"AL","Renewable-Consumption","Change 1970-1980","Billion Btu",106295
"AL","Renewable-Consumption","Change 1990-2000","Billion Btu",10016
"AL","Renewable-Consumption","Percent Change 1980-1990","Billion Btu",3.90
"AL","Renewable-Consumption","Change 2000-2010","Billion Btu",2837
"AL","Renewable-Consumption","Percent Change 2010-2020","Billion Btu",9.55
"AL","Renewable-Consumption","Change 2010-2020","Billion Btu",42153
"AL","Renewable-Consumption","Percent Change 1970-1980","Billion Btu",34.85
"AL","Renewable-Consumption","Percent Change 2000-2010","Billion Btu",0.71
"AL","Renewable-Consumption","Percent Change 1990-2000","Billion Btu",2.57
"AL","Renewable-Production","Change 1970-1980","Billion Btu",212591
"AL","Renewable-Production","Percent Change 2010-2020","Billion Btu",11.13
"AL","Renewable-Production","Change 2000-2010","Billion Btu",-42119
"AL","Renewable-Production","Percent Change 1990-2000","Billion Btu",2.99
"AL","Renewable-Production","Change 1980-1990","Billion Btu",25801
"AL","Renewable-Production","Percent Change 2000-2010","Billion Btu",-5.63
"AL","Renewable-Production","Percent Change 1970-1980","Billion Btu",34.85
"AL","Renewable-Production","Change 1990-2000","Billion Btu",23272
"AL","Renewable-Production","Percent Change 1980-1990","Billion Btu",3.48
"AL","Renewable-Production","Change 2010-2020","Billion Btu",90987
"AR","Fossil Fuel-Consumption","Percent Change 2000-2010","Billion Btu",2.22
"AR","Fossil Fuel-Consumption","Change 1980-1990","Billion Btu",102732
"AR","Fossil Fuel-Consumption","Change 2000-2010","Billion Btu",30001
"AR","Fossil Fuel-Consumption","Percent Change 1990-2000","Billion Btu",13.59
