"state_code","category","year","unit","amount"
"AK","All Industry Total","1970","Dollars",2359000000
"AK","All Industry Total","1990","Dollars",25040000000
"AK","All Industry Total","2020","Dollars",50475000000
"AK","All Industry Total","1980","Dollars",15282000000
"AK","All Industry Total","2010","Dollars",53332000000
"AK","All Industry Total","2000","Dollars",26807000000
"AK","Consumption","2000","Billion Btu",742061
"AK","Consumption","1970","Billion Btu",182039
"AK","Consumption","2020","Billion Btu",640132
"AK","Consumption","2010","Billion Btu",639266
"AK","Consumption","1990","Billion Btu",584082
"AK","Consumption","1980","Billion Btu",295745
"AK","Fossil Fuel-Consumption","1980","Billion Btu",287424
"AK","Fossil Fuel-Consumption","2010","Billion Btu",622114
"AK","Fossil Fuel-Consumption","1990","Billion Btu",565722
"AK","Fossil Fuel-Consumption","2000","Billion Btu",729682
"AK","Fossil Fuel-Consumption","1970","Billion Btu",173203
"AK","Fossil Fuel-Consumption","2020","Billion Btu",614585
"AK","Fossil Fuel-Production","1970","Billion Btu",493537
"AK","Fossil Fuel-Production","2000","Billion Btu",2085754
"AK","Fossil Fuel-Production","2010","Billion Btu",1303199
"AK","Fossil Fuel-Production","1990","Billion Btu",3781006
"AK","Fossil Fuel-Production","1980","Billion Btu",3443887
"AK","Fossil Fuel-Production","2020","Billion Btu",948005
"AK","Gdp Per Capita","2010","Dollars",75091
"AK","Gdp Per Capita","1970","Dollars",7853
"AK","Gdp Per Capita","2000","Dollars",42759
"AK","Gdp Per Capita","1990","Dollars",45524
"AK","Gdp Per Capita","1980","Dollars",38029
"AK","Gdp Per Capita","2020","Dollars",68824
"AK","Nuclear-Consumption","2020","Billion Btu",0
"AK","Nuclear-Consumption","1980","Billion Btu",0
"AK","Nuclear-Consumption","2010","Billion Btu",0
"AK","Nuclear-Consumption","1970","Billion Btu",0
"AK","Nuclear-Consumption","1990","Billion Btu",0
"AK","Nuclear-Consumption","2000","Billion Btu",0
"AK","Population","1980","Individual Person",401851
"AK","Population","2000","Individual Person",626932
"AK","Population","2020","Individual Person",733391
"AK","Population","1990","Individual Person",550043
"AK","Population","1970","Individual Person",300382
"AK","Population","2010","Individual Person",710231
"AK","Production","1990","Billion Btu",4232243
"AK","Production","2010","Billion Btu",1739474
"AK","Production","1970","Billion Btu",615010
"AK","Production","2020","Billion Btu",1348969
"AK","Production","2000","Billion Btu",2647192
"AK","Production","1980","Billion Btu",3684570
"AK","Renewable-Consumption","2020","Billion Btu",25546
"AK","Renewable-Consumption","2010","Billion Btu",17148
"AK","Renewable-Consumption","1970","Billion Btu",8835
"AK","Renewable-Consumption","1980","Billion Btu",8321
"AK","Renewable-Consumption","2000","Billion Btu",12375
"AK","Renewable-Consumption","1990","Billion Btu",18357
"AK","Renewable-Production","2020","Billion Btu",49364
"AK","Renewable-Production","2010","Billion Btu",33930
"AK","Renewable-Production","1990","Billion Btu",36715
"AK","Renewable-Production","2000","Billion Btu",24408
"AK","Renewable-Production","1980","Billion Btu",16643
"AK","Renewable-Production","1970","Billion Btu",17670
"AK","Total Expenditure","1970","Dollars",188000000
"AK","Total Expenditure","2000","Dollars",2842000000
"AK","Total Expenditure","1990","Dollars",2079000000
"AK","Total Expenditure","2020","Dollars",4709000000
"AK","Total Expenditure","1980","Dollars",1010000000
"AK","Total Expenditure","2010","Dollars",6320000000
"AL","All Industry Total","2000","Dollars",119852000000
"AL","All Industry Total","2010","Dollars",177249000000
"AL","All Industry Total","1990","Dollars",71610000000
"AL","All Industry Total","1980","Dollars",36143000000
"AL","All Industry Total","2020","Dollars",230892000000
"AL","All Industry Total","1970","Dollars",12475000000
"AL","Consumption","2000","Billion Btu",2093922
"AL","Consumption","1980","Billion Btu",1644874
"AL","Consumption","1990","Billion Btu",1659374
"AL","Consumption","1970","Billion Btu",1393497
"AL","Consumption","2010","Billion Btu",1942188
"AL","Consumption","2020","Billion Btu",1838656
"AL","Fossil Fuel-Consumption","1990","Billion Btu",1417537
"AL","Fossil Fuel-Consumption","1980","Billion Btu",1389727
"AL","Fossil Fuel-Consumption","2010","Billion Btu",1784523
"AL","Fossil Fuel-Consumption","2000","Billion Btu",1832388
"AL","Fossil Fuel-Consumption","2020","Billion Btu",1495094
"AL","Fossil Fuel-Consumption","1970","Billion Btu",1335403
"AL","Fossil Fuel-Production","1970","Billion Btu",545922
"AL","Fossil Fuel-Production","1980","Billion Btu",761852
"AL","Fossil Fuel-Production","1990","Billion Btu",815282
"AL","Fossil Fuel-Production","2000","Billion Btu",533350
"AL","Fossil Fuel-Production","2010","Billion Btu",534593
"AL","Fossil Fuel-Production","2020","Billion Btu",337810
"AL","Gdp Per Capita","2000","Dollars",26951
"AL","Gdp Per Capita","2010","Dollars",37083
"AL","Gdp Per Capita","1990","Dollars",17723
"AL","Gdp Per Capita","1980","Dollars",9282
"AL","Gdp Per Capita","1970","Dollars",3622
"AL","Gdp Per Capita","2020","Dollars",45955
"AL","Nuclear-Consumption","2010","Billion Btu",396557
"AL","Nuclear-Consumption","1990","Billion Btu",127533
"AL","Nuclear-Consumption","1970","Billion Btu",0
"AL","Nuclear-Consumption","2020","Billion Btu",454756
"AL","Nuclear-Consumption","2000","Billion Btu",327143
"AL","Nuclear-Consumption","1980","Billion Btu",256310
"AL","Population","1970","Individual Person",3444165
"AL","Population","2010","Individual Person",4779736
"AL","Population","2020","Individual Person",5024279
"AL","Population","1990","Individual Person",4040587
"AL","Population","1980","Individual Person",3893888
"AL","Population","2000","Individual Person",4447100
"AL","Production","1980","Billion Btu",1332307
"AL","Production","2000","Billion Btu",1538212
"AL","Production","1990","Billion Btu",1341945
"AL","Production","2010","Billion Btu",1429510
"AL","Production","1970","Billion Btu",679413
"AL","Production","2020","Billion Btu",1205912
"AL","Renewable-Consumption","1990","Billion Btu",253287
"AL","Renewable-Consumption","2020","Billion Btu",308293
