COUNTRY,PRODUCT,FLOW,YEAR,AMOUNT
US ,GOVTRD,RENEWABLE,2005,250.33
US ,GOVTRD,RENEWABLE,2006,203.218
US ,GOVTRD,RENEWABLE,2007,431.879
US ,GOVTRD,RENEWABLE,2008,418.9
US ,GOVTRD,RENEWABLE,2009,1176
US ,GOVTRD,RENEWABLE,2010,1117
US ,GOVTRD,RENEWABLE,2011,922.837
US ,GOVTRD,RENEWABLE,2012,1489.961
US ,GOVTRD,RENEWABLE,2013,930.006
US ,GOVTRD,RENEWABLE,2014,884.393
US ,GOVTRD,RENEWABLE,2015,819.187
US ,RDDUSD,RENEWABLE,2005,363.96
US ,RDDUSD,RENEWABLE,2006,286.619
US ,RDDUSD,RENEWABLE,2007,764.002
US ,RDDUSD,RENEWABLE,2008,603.758
US ,RDDUSD,RENEWABLE,2009,2953.529
US ,RDDUSD,RENEWABLE,2010,1733.081
US ,RDDUSD,RENEWABLE,2011,1504.097
US ,RDDUSD,RENEWABLE,2012,1895.588
US ,RDDUSD,RENEWABLE,2013,1227.385
US ,RDDUSD,RENEWABLE,2014,1109.786
US ,RDDUSD,RENEWABLE,2015,1093.877
