Gross Electricity Generation ,Year,Unit,Amount
Biomass and waste,2025,Billion Btu,427840
Biomass and waste,2030,Billion Btu,471202
Biomass and waste,2035,Billion Btu,513534
Biomass and waste,2040,Billion Btu,549491
Biomass and waste,2045,Billion Btu,582814
Biomass and waste,2050,Billion Btu,618967
Biomass and waste,2055,Billion Btu,658849
Biomass and waste,2060,Billion Btu,641386
Hydro (excl. pumped storage),2025,Billion Btu,1039800
Hydro (excl. pumped storage),2030,Billion Btu,1080335
Hydro (excl. pumped storage),2035,Billion Btu,1128786
Hydro (excl. pumped storage),2040,Billion Btu,1180235
Hydro (excl. pumped storage),2045,Billion Btu,1231684
Hydro (excl. pumped storage),2050,Billion Btu,1270429
Hydro (excl. pumped storage),2055,Billion Btu,1334583
Hydro (excl. pumped storage),2060,Billion Btu,1386032
Geothermal,2025,Billion Btu,157956
Geothermal,2030,Billion Btu,201145
Geothermal,2035,Billion Btu,257099
Geothermal,2040,Billion Btu,311412
Geothermal,2045,Billion Btu,375028
Geothermal,2050,Billion Btu,438644
Geothermal,2055,Billion Btu,502260
Geothermal,2060,Billion Btu,565876
Solar,2025,Billion Btu,622478
Solar,2030,Billion Btu,835204
Solar,2035,Billion Btu,1054556
Solar,2040,Billion Btu,1267150
Solar,2045,Billion Btu,1464202
Solar,2050,Billion Btu,1675441
Solar,2055,Billion Btu,1886679
Solar,2060,Billion Btu,2097920
Ocean,2025,Billion Btu,2654
Ocean,2030,Billion Btu,7308
Ocean,2035,Billion Btu,12256
Ocean,2040,Billion Btu,19267
Ocean,2045,Billion Btu,22776
Ocean,2050,Billion Btu,28036
Ocean,2055,Billion Btu,36625
Ocean,2060,Billion Btu,42411
